text,label
"A micellar electrokinetic capillary chromatography (MECC) method was developed for the qualitative and quantitative determination of five marker compounds (iridoid glycosides, flavonoids and phenylethanoids) in Verbena officinalis. Optimum separation was achieved using a 50 mM sodium borate solution (pH 9.3), containing 50 mM sodium dodecylsulfate (SDS) as surfactant, at an applied voltage of 25 kV and a temperature of 30 °C, respectively. Because of their different absorption maxima, the compounds were detected either at 205 or 235 nm. Calibration data confirmed linearity of the detector response within the concentration range injected (R2 from 0.997 to 0.999), and revealed detection limits ranging from 5.0 μg mL−1 (verbascoside) to 13.6 μg mL−1 (hastatoside). The five markers were readily assignable in several samples of Verbena.",1
"In normal rye caryopses, five phenolic acids were detected: ferulic, sinapic, vanillic, caffeic and p-coumaric, three of which were found in the free phenolic fraction (p-coumaric, ferulic and sinapic). Total phenolic compound and phenolic acid contents were the highest at the initial stage of development and the lowest at the final stage of maturation of rye grains. After the dehydration treatment, total phenolic content decreased relatively slightly in all examined samples of rye caryopses of various ripeness. The phenolic acid fraction (consisting of both bound and free forms) decreased more during dehydration, especially at the initial stage of caryopses development. Cells of unripe rye grains reacted to water stress by lowering the level of total phenolic compounds, and especially the content of phenolic acids. During the development and ripening of rye caryopses, a gradual increase in precocious germination ability of the grain was observed. The enforced dehydration stimulated processes of precocious germination of unripe caryopses. The highest stimulation of germination was observed at the initial stage of development of caryopses (22 and 29 DAF). One of the reasons for inducing faster germination of unripe rye caryopses may be the lowering of the level of phenolic acids (considered as inhibitors of germination) in caryopses after the dehydration treatment.",1
"The preventability of acute lymphocytic leukemia during childhood is currently receiving great attention, as it is one of the most common cancers in children. Among the known risk factors so far are those affecting the development of gut microbiota, such as a short duration or absence of breastfeeding, cesarean section, a diet lacking in short-chain fatty acids (SCFAs), the use of antibiotics, absence of infection during infancy, and lack of pets, among other factors. Namely, it has been shown that iron deficiency anemia (IDA) and lack of vitamin D may cause intestinal dysbiosis, while at the same time, both increase the risk of hematological malignancies. The presence of IDA and vitamin D deficiency have been shown to lead to a decreased proportion of Firmicutes in stool, which could, as a consequence, lead to a deficit of butyrate. Moreover, children with IDA have increased blood concentrations of cadmium, which induces systemic inflammation and is linked to the onset of an inflammatory microenvironment in the bone marrow. Finally, IDA and Cd exposure increase fibroblast growth factor 23 (FGF23) blood levels, which in turn suppresses vitamin D synthesis. A lack of vitamin D has been associated with a higher risk of ALL onset. In brief, as presented in this review, there are three independent ways in which IDA increases the risk of acute lymphocytic leukemia (ALL) appearance. These are: intestinal dysbiosis, disruption of vitamin D synthesis, and an increased Cd load, which has been linked to systemic inflammation. All of the aforementioned factors could generate the appearance of a second mutation, such as ETV6/RUNX1 (TEL-AML), leading to mutation homozygosity and the onset of disease. ALL has been observed in both IDA and thalassemia. However, as IDA is the most common type of anemia and the majority of published data pertains to it, we will focus on IDA in this review.",0
"8-Prenylnaringenin (8-PN), a potent phytoestrogen, present in hops (Humulus lupulus L.), hop products, and most beers, exhibits an estrogenic activity greater than that of any of the known phytoestrogens. A sensitive, selective, and robust analytical method, based on HPLC-MS (High Performance Liquid Chromatography—Mass Spectrometry) using atmospheric pressure electrospray ionization, has been developed for systematic investigation of the development and the localization of this estrogenic trait in the hop plant, as well as for quantitative determination of 8-PN in hop varieties, hop products, and beers. Excellent linearity was obtained in the range of 3.7–2,200 μg L−1 (γ=0.9999, n=7) and the limit of detection wasca 1 μg L−1. Recoveries were between 93.8% (110 μg L−1) and 96.5% (370 μg L−1) for hop products, and between 63.4% (18.5 μgL−1) and 72.8% (37 μg L−1) for beers. Good precision was achieved with relative standard deviations of less than 5% within-day (n=6) and less than 10% from-day-to-day (n=18).",1
"In this study the impact of achenes on polyphenolic compounds, ascorbic acids, and antioxidant activities in strawberry purees at production and after storage at 6 and 22 degrees C for 8 and 16 weeks was investigated. Strawberry purees were made from flesh, berry, and achene-enriched homogenate and contained 0, 1.2, and 2.9% achenes, respectively. At production, strawberry purees made from flesh contained more anthocyanins, p-coumaroyl glycosides, and ascorbic acids, whereas increasing achene levels caused increasing levels of ellagic acid derivatives, proanthocyanidins, flavonols, total phenolics (TP), and antioxidant activities. In addition, the anthocyanins, TP, and ferric reducing ability power (FRAP) in purees with more achenes were better retained during storage. Ascorbic acids and anthocyanins declined rapidly during storage, whereas other polyphenols and antioxidant activities were more stable; that is, the contributions from anthocyanins and ascorbic acids to TP and antioxidant activities decreased. The findings that achenes contributed significantly to polyphenol content and stability of strawberry purees may be interesting in a nutritional and, thus, commercial, perspective.",1
"Chemical composition and the effects of domestic processing and storage were studied in organically cultivated or wild growing berries, harvested in certificated area in Serbia. The total phenolics content in fresh berries ranged from 380 to 1660 mg GAE/100 g. The phenolic content decreased during the processing to jams, and storage in almost all samples, except in black currant. Among fresh berries, the highest amount of total anthocyanins was found in bilberry (0.61 +/- 0.03 %). Processing and storage caused decrease in anthocyanin content. The most ubiquitous anthocyanin aglycone was found to be cyanidin. Ellagic acid was detected in fresh and frozen black raspberries and related jams, and its content increases during thermal processing to jam. Among fresh berries, bilberry showed the strongest DPPH radical scavenging activity with an IC(50) value of 0.82 mg/ml. However, frozen as well as processed berries in our study still showed comparable high values of radical scavenging activity. After 9 months of storage all investigated jams were microbiologicaly correct. Regardless of the losses in the amount of total phenolics, total anthocyanins and radical scavenging activity, frozen berries and related jams are still excellent sources of nutritional substances with antioxidant potential.",1
"Disposition of citrus flavonoids was evaluated after single oral doses of pure compounds (500 mg naringin and 500 mg hesperidin) and after multiple doses of combined grapefruit juice and orange juice and of once-daily grapefruit. Cumulative urinary recovery indicated low bioavailability ( < 25%) of naringin and hesperidin. The aglycones naringenin and hesperitin were detected in urine and plasma by positive chemical ionization-collisionally activated dissociation tandem mass spectrometry (PCI-CAD MS/MS). After juice administration, PCI-CAD MS/MS detected naringenin, hesperitin, and four related flavanones, tentatively identified as monomethoxy and dimethoxy derivatives. These methoxyflavanones appear to be absorbed from juice. Absorbed citrus flavanones may undergo glucuronidation before urinary excretion.",1
"The effect of cold storage on antioxidant profile and the antioxidant activity of five sweet orange genotypes [Citrus sinensis (L.) Osbeck], three blood (pigmented) varieties with different anthocyanin contents (‘Tarocco Messina’, ‘Tarocco Meli’ and ‘Moro’) and two blond varieties (‘Ovale’ and ‘Valencia late’), stored at 6±1°C for 65d was investigated. During fruit storage, anthocyanins, hydroxycinnamic acids, vitamin C, flavanones and total phenolics were determined, and juice antioxidant capacity was measured by two different in vitro tests (DPPH scavenging activity and inhibition of induced linoleic acid peroxidation). The results showed an increase in anthocyanins, flavanones and hydroxycinnamic acids and a slight decrease in vitamin C in the blood oranges. Cold storage negatively affected flavanone concentration, while positively influenced vitamin C in blond orange varieties. Both antioxidant activity tests showed an increase in antioxidant capacity during storage caused mainly by phenolic accumulation (blood oranges) and vitamin C increase (blond oranges). Finally, correlations between antioxidant activity and total or individual phenolic components were examined.",1
"The present study was carried out to quantify green tea epicatechin (GTE) derivatives and to investigate the origin of epicatechin epimers present in 18 selected canned or bottled tea drinks. The major GTEs present in tea are (−)-epigallocatechin gallate (EGCG), (−)-epigallocatechin (EGC), (−)-epicatechin gallate (ECG) and (−)-epicatechin (EC). HPLC analysis showed that the content of total GTEs was lower (16.4–268.3 mg l−1) in the canned and bottled tea drinks than in tea traditionally prepared as a beverage in a cup or teapot (3–5 g l−1). The major finding was that they contained higher levels of epicatechin epimers, namely (−)-gallocatechin gallate (GCG), (−)-gallocatechin (GC), catechin gallate (CG) and (−)-catechin (C), than of GTEs, ranging from 7.6 to 331.8 mg l−1. To investigate the origin of these epimers, GTEs were extracted from longjing green tea and autoclaved at various temperatures for 10–60 min. It was found that at least 50% of GTEs were epimerised to their corresponding epimers when autoclaved at 120 °C for 20 min. It is concluded that epicatechin epimers in tea drinks are not originally present in green tea leaf but are instead derived from thermal conversion of GTEs. ",1
"Acute myeloid leukemia (AML) with RAM immunophenotype is a newly recognized high-risk AML immunophenotypic subcategory characterized by blasts with bright expression of CD56 and weak to absent expression of CD45, HLA-DR, and CD38, as first described by the Children's Oncology Group (COG). The relationship between AML-RAM and other CD56-positive acute leukemias is unclear. The goal of this study is to characterize the clinicopathological characteristics of AML with RAM phenotype and compare them with other CD56 co-expressing acute leukemias. From a multi-institutional search, we identified a total of 160 CD56+ acute leukemia cases, including AML-RAM ( AML-RAM patients were significantly younger and presented with significantly higher platelet and white blood cell counts and bone marrow (BM) blast percentages when compared to AUL ( We find that AML with RAM phenotype occurs primarily in younger ages, with distinct clinicopathological, immunophenotypic, and mutational presentations, and worse prognosis. This diagnosis should be considered in the clinical differential diagnosis of CD56-positive acute leukemias.",0
"Infant acute lymphoblastic leukaemia (ALL) is a rare and aggressive type of leukaemia, especially when a KMT2A rearrangement is involved. Historical treatment strategies have included intensification of conventional ALL chemotherapy in combination with acute myeloid leukaemia treatment elements. However, outcomes have remained consistently poor compared to the advances that have been seen in childhood ALL. The emergence of novel immunotherapies has transformed treatment strategies, with blinatumomab now incorporated into clinical trials for infants with KMT2A-rearranged ALL, promising significant advancements. Additionally, deeper insights into the unique biology of KMT2A-rearranged ALL have facilitated the development of targeted therapies, such as venetoclax and menin inhibitors, which are under clinical evaluation. These efforts offer renewed hope for better outcomes. This review highlights the substantial progress in understanding and treating KMT2A-rearranged ALL, fuelling optimism for future therapeutic success. In addition, we highlight the challenges that might be faced by using immunotherapy.",0
B cell precursor acute lymphoblastic leukemia (BCP-ALL) is a malignant disorder of immature B lineage immune progenitors and is the commonest cancer in children. Despite treatment advances it remains a leading cause of death in childhood and response rates in adults remain poor. A preleukemic state predisposing children to BCP-ALL frequently arises,0
"Infectious complications remain the major cause of treatment-related morbidity and mortality in pediatric patients with acute lymphoblastic leukemia (ALL). This study retrospectively compared the patterns of infection in children treated with either the modified St. Jude Total XV protocol (n = 181) or the ALL-IC BFM 2009 protocol (n = 61) at a single center. Although the overall number of infection episodes was similar between the two groups, their distributions across treatment phases differed markedly. The ALL-IC BFM 2009 protocol was associated with a significantly greater incidence of infections during the induction phase, particularly in high-risk patients, who often presented with skin and gastrointestinal tract infections. In contrast, modified St. Jude Total XV protocol presented a greater infection risk during the re-induction phase. Gram-positive bacteria, especially Staphylococcus epidermidis, were the most frequently isolated pathogens in both cohorts, although the BFM group exhibited a higher proportion of gram-negative infections. The rates of documented viral infections in BFM cohort and modified St. Jude Total XV cohort were 21.4 % vs 9.2 %, respectively. Invasive fungal infection rate was found as 6.7 % in the modified St. Jude group and 4.0 % in the BFM group is in line with the literature. Multivariate analysis confirmed that severe neutropenia and the presence of a central venous catheter were strong independent predictors of infection frequency. These findings underscore protocol-specific differences in infectious risk profiles and emphasize the importance of tailored supportive care strategies in the management of pediatric ALL.",0
"Processed juices from dried prunes with or without pulp, juice from prune concentrate, and the juices of fresh prune and nine other fruits were analyzed for anthocyanins, organic acids, sugars, phenolic compounds, and amino acids. Unique characteristics of processed prune juice were the predominance of alpha-aminobutyric acid, citrulline, taurine, O-phosphoethanolamine, and quinic acid and the absence of anthocyanins, (-)-epicatechin, phloridzin, and citric and tartaric acids. Comprehensive measurements of sugars, anthocyanins, nonvolatile acids, phenolic compounds, and amino acids made it possible to distinguish processed prune juices from fresh prune juice and the juices of plum, cherry, nectarine, peach, apple, pear, grape, kiwi fruit, and strawberry fruits.",1
"Haploidentical hematopoietic cell transplantation (HCT) with posttransplant cyclophosphamide (PTCy) graft-versus-host-disease (GVHD) prophylaxis yields a similar overall survival (OS) to HLA-matched unrelated donor (MUD) HCT with conventional prophylaxis. Given the prognostic implications of donor age, we investigated the impact of donor age (younger [<35 years, n = 868] vs older [≥35 years, n = 418]) and donor type (haploidentical [n = 373] vs MUD [n = 913]) on OS in adult patients with acute lymphoblastic leukemia (ALL). Older donor age was independently associated with significantly poor OS, whereas donor type was not. Next, we directly compared the outcomes of a younger haploidentical donor (n = 187) vs an older MUD (n = 232). In this cohort, more patients in the haploidentical group had B-cell immunophenotype (89% vs 77%, respectively, P < .001), poor cytogenetics (61% vs 51%, respectively, P = .44), Philadelphia chromosome-negative (53% vs 48%, respectively, P = .38), received bone marrow graft (42% vs 16%, respectively, P < .001), and reduced-intensity conditioning (45% vs 23%, respectively, P < .001). In the multivariate analysis, the older MUD group was associated with a significantly higher risk of chronic GVHD, higher nonrelapse mortality (NRM), lower relapse, and poorer OS. Despite a higher risk of relapse, younger donor haploidentical HCT with PTCy prophylaxis may be preferred over older MUD HCT with conventional prophylaxis in patients with ALL due to lower NRM and better OS. Further analysis comparing the effect of donor age in haploidentical PTCy vs MUD PTCy is warranted.",0
"The major flavonoids in rat serum after oral administration of Dalbergia odorifera extract were analyzed qualitatively and quantitatively by high performance liquid chromatography (HPLC) and its coupling to mass spectrometry (HPLC-MS). Utilizing HPLC-MS technique, 18 flavonoids including five isoflavones, four isoflavanones, four neoflavones, two flavanones, two chalcones, one isoflavanonol were identified in free form in serum sample based on comparison with the authentic standards. Furthermore, the amounts of the four prominent flavonoids, (3R)-4'-methoxy-2',3,7-trihydroxyisoflavanone, vestitone, formononetin and sativanone were determined in serum by HPLC-UV with internal standard method. The method was validated and utilized in pharmacokinetic studies of these four analytes. This is the first report on identification and determination of the major flavonoids in rat serum after oral administration of D. odorifera extract and the results provided a firm basis for clarifying the pharmacological effect of D. odorifera and evaluating the clinical applications of this medicinal herb.",1
"We report a rare case of adult acute B-lymphoblastic leukemia (B-ALL) with hypercalcemia and osteolytic bone lesions in a 53-year-old man who died after chemotherapy. The bone marrow examination was evaluated by Wright-Giemsa staining, tissue biopsy, immunohistochemical staining, and flow cytometry. Bone imaging was performed using positron emission tomography/computed tomography (PET/CT) technology. Total calcium levels were measured by biochemical analyzer. The result of PET/CT indicated the patient with B-ALL with severe osteolytic bone lesions. The serum total calcium level was as high as 4.09 mmol/L, and the cytokines interleukin-6 and 17A were significantly elevated. The patient was resistant to chemotherapy and had a poor prognosis. Hypercalcemia and osteolytic bone lesions are rare complications of adult B-ALL, and their co-occurrence may be an indicator of poor prognosis in patients with B-ALL.",0
"Acute lymphoblastic leukemia (ALL) is the most common cancer affecting children, making up about 80% of all acute leukemia cases in the pediatric population. While treatment with L-asparaginase (ASNase) has greatly improved survival rates, its bacterial origin often causes immune reactions in some patients, which can reduce how well the therapy works. To overcome this challenge, previous in silico studies designed a humanized chimeric ASNase by swapping out the predicted immunogenic parts of the bacterial enzyme with similar, less immunogenic segments from the human version-while keeping the enzyme's active site intact. In this study, the chimeric L-asparaginase designed was successfully cloned, expressed, and purified using the",0
"Chimeric antigen receptor (CAR)-based therapy is of interest for relapsed or refractory (r/r) T cell acute lymphoblastic leukemia (T-ALL) and T cell lymphomas. A prominent target antigen for this is the receptor CD7, which is expressed in ∼95% of T-ALL, ∼50% of peripheral T cell lymphomas, as well as 10% of acute myeloid leukemias. Here, we preclinically evaluated and compared CD7-targeted ligand K12-based CAR-T to an scFvCD7-based CAR-T construct. K12 CAR-T cells produced significantly higher interferon gamma (IFN-γ) after CD7 activation compared to scFv-CD7 CAR-T cells. Similarly, in a Jurkat",0
"The objective of the present study was to evaluate the effect of three common cooking practices (i.e., boiling, steaming, and frying) on phytochemical contents (i.e., polyphenols, carotenoids, glucosinolates, and ascorbic acid), total antioxidant capacities (TAC), as measured by three different analytical assays [Trolox equivalent antioxidant capacity (TEAC), total radical-trapping antioxidant parameter (TRAP), ferric reducing antioxidant power (FRAP)] and physicochemical parameters of three vegetables (carrots, courgettes, and broccoli). Water-cooking treatments better preserved the antioxidant compounds, particularly carotenoids, in all vegetables analyzed and ascorbic acid in carrots and courgettes. Steamed vegetables maintained a better texture quality than boiled ones, whereas boiled vegetables showed limited discoloration. Fried vegetables showed the lowest degree of softening, even though antioxidant compounds were less retained. An overall increase of TEAC, FRAP, and TRAP values was observed in all cooked vegetables, probably because of matrix softening and increased extractability of compounds, which could be partially converted into more antioxidant chemical species. Our findings defy the notion that processed vegetables offer lower nutritional quality and also suggest that for each vegetable a cooking method would be preferred to preserve the nutritional and physicochemical qualities.",1
"Umbilical cord blood (UCB) is a valuable alternative donor source for allogeneic hematopoietic stem cell transplantation. Various conditioning regimens and graft-versus-host disease (GVHD) prophylaxis regimens aimed at improving the outcomes of umbilical cord blood transplantation (UCBT) have been explored; however, the differences in their effects remain unclear. This study was conducted to elucidate the differences in the effects of conditioning and GVHD prophylaxis regimens on UCBT outcomes by disease type in a nationwide, retrospective study. We retrospectively analyzed the effects of conditioning and GVHD prophylaxis regimens on the outcomes of UCBT performed with cyclophosphamide (Cy)/total body irradiation (TBI)-based regimens in patients with acute myeloid leukemia (AML; n = 1126), acute lymphoblastic leukemia (ALL; n = 620), myelodysplastic syndrome (MDS; n = 170), and lymphoma (n = 128). Multivariate analysis for overall survival (OS) demonstrated the benefit of adding high-dose cytarabine to the Cy/TBI regimen for the AML group (relative risk [RR], .76; P = .003) and lymphoma group (RR, .54; P = .02), but not for the ALL and MDS groups. In the ALL group, adding etoposide to the Cy/TBI regimen was associated with a lower OS (RR, 1.45; P = .03). For GVHD prophylaxis, a tacrolimus/methotrexate regimen was associated with a lower OS compared with a cyclosporine/methotrexate regimen in the AML group (RR, 1.26; P = .01); this difference was not observed in the other groups. These differences in OS according to the conditioning and GVHD prophylaxis regimen were attributable mainly to differences in relapse risk. Our data show that the effects of conditioning regimens and GVHD prophylaxis on UCBT outcomes differed according to disease type. UCBT outcomes could be improved by selecting optimal conditioning regimens and GVHD prophylaxis for each disease type.",0
"The phenolic compounds hydroxycinnamates, anthocyanins, flavonols, and flavan-3-ols of sweet cherry cultivars Burlat, Saco, Summit, and Van harvested in 2001 and 2002 were quantified by HPLC-DAD. Phenolics were analyzed at partially ripe and ripe stages and during storage at 15 +/- 5 degrees C (room temperature) and 1-2 degrees C (cool temperature). Neochlorogenic and p-coumaroylquinic acids were the main hydroxycinnamic acid derivatives, but chlorogenic acid was also identified in all cultivars. The 3-glucoside and 3-rutinoside of cyanidin were the major anthocyanins. Peonidin and pelargonidin 3-rutinosides were the minor anthocyanins, and peonidin 3-glucoside was also present in cvs. Burlat and Van. Epicatechin was the main monomeric flavan-3-ol with catechin present in smaller amounts in all cultivars. The flavonol rutin was also detected. Cultivar Saco contained the highest amounts of phenolics [227 mg/100 g of fresh weight (fw)] and cv. Van the lowest (124 mg/100 g of fw). Phenolic acid contents generally decreased with storage at 1-2 degrees C and increased with storage at 15 +/- 5 degrees C. Anthocyanin levels increased at both storage temperatures. In cv. Van the anthocyanins increased up to 5-fold during storage at 15 +/- 5 degrees C (from 47 to 230 mg/100 g of fw). Flavonol and flavan-3-ol contents remained quite constant. For all cultivars the levels of phenolic acids were higher in 2001 and the anthocyanin levels were higher in 2002, which suggest a significant influence of climatic conditions on these compounds.",1
"A hallmark of T-cell acute lymphoblastic leukemia (T-ALL) is the dysregulated expression of oncogenic transcription factors (TFs), including TAL1, NOTCH1 and MYC. Rewiring of the transcriptional program disrupts the tightly controlled spatiotemporal expression of downstream target genes, thereby contributing to leukemogenesis. In this study, we first identify an evolutionarily conserved enhancer element controlling the MYCN oncogene (named enhMYCN) that is aberrantly activated by the TAL1 complex in T-ALL cells. TAL1-positive T-ALL cells are highly dependent on MYCN expression for their maintenance in vitro and in xenograft models. Interestingly, MYCN drives the expression of multiple genes involved in the mevalonate pathway, and T-ALL cells are sensitive to inhibition of HMG-CoA reductase (HMGCR), a rate-limiting enzyme of this pathway. Importantly, MYC and MYCN regulate the same targets and compensate for each other. Thus, MYCN-positive T-ALL cells display a dual dependence on the TAL1-MYCN and NOTCH1-MYC pathways. Together, our results demonstrate that enhMYCN-mediated MYCN expression is required for human T-ALL cells and implicate the TAL1-MYCN-HMGCR axis as a potential therapeutic target in T-ALL.",0
