title,pmid,abstract,indice
"Correlation of tocopherol, tocotrienol, gamma-oryzanol and total polyphenol content in rice bran with different antioxidant capacity assays",NA,"This study sought to evaluate the effect of steam cooking on the vitamin C, total phenolics, total flavonoid and antioxidant properties (1,1-diphenyl-2-picrylhydrazyl [DPPH] free radical and 2,2-azinobis(3-ethylbenzo-thiazoline-6-sulfonate) [ABTS*] radical scavenging abilities, reducing property and Fe2+ chelating ability) of some tropical green leafy vegetables: Talinum triangulare, Ocimum gratissimum, Amaranthus hybridus, Telfairia occidentalis, Ipomea batata, Cnidoscolus aconitifolius, Baselia alba and Senecio biafrae leaves. The results of the study revealed that cooking causes a significant (P < 0.05) decrease in the vitamin C (raw [321.4–842.0], cooked [198.2–638.4 mg/100 g]) content. Conversely, there was a significant (P < 0.05) increase in the total phenol (raw [146.9–693.8], cooked [272.9–1037.5 mg/100 g]), total flavonoid (raw [8.2–53.0], cooked [12.9–57.4 mg/100 g]), DPPH radical scavenging ability (raw [15.7–61.8], cooked [52.8–92.7%]), reducing property (raw: 28.3–61.8; cooked: 43.9–71.6 mg/100 g ascorbic acid equivalent [AAE]), Fe2+ chelating ability (raw [17.4–75.4], cooked [22.8–89.2%]) and ABTS* scavenging ability (raw [17.4–87.3], cooked [57.5–113.2 mmol/100 g trolox equivalent antioxidant capacity]). In view of this, it could be concluded that steam cooking decreases the vitamin C content of all the vegetables, while it increased the phenolic content and antioxidant activities.",10
Evaluation of Phenolic Profile and Antioxidant Properties of Pardina Lentil As Affected by Industrial Dehydration,20735138,"This study presents the effects of soaking, cooking, and industrial dehydration treatments on phenolic profile and also on antioxidant properties in Pardina lentil. HPLC-PAC and HPLC-MS (ESI) analysis identified a total of 35 phenolic compounds in raw and processed lentil flours, corresponding to catechins and procyanidins (69% of the total of identified phenolic compounds), flavonols (17%), flavones, and flavanones (5%), and hydroxybenzoic and hydroxycinnamic compounds (5 and 4%, respectively). During the industrial process, catechins and procyanidins, flavonols, flavones, and flavanones decreased, while hydroxybenzoic compounds exhibited an important increase. In addition, raw lentils showed high values of the antioxidant activity (66.97 μmol Trolox/g); although the thermal processing promotes decreased, the levels of antioxidant activity were still relevant. Thus, the significant occurrence of bioactive phenolic compounds along with the interesting antioxidant capacity of dehydrated lentil flours make them useful for daily inclusion in the human diet as ready-to-use for special meals to specific populations.",11
High-Performance Liquid-Chromatography of Selected Phenolic-Compounds in Olive Oils,NA,"A reverse-phase high-performance liquid chromatographic technique with isocratic elution has been developed to separate and quantitate the major phenolic compounds of the hydroalcoholic extracts of olive oils. Hydroxytyrosol, tyrosol, caffeic acid,p-hydroxyphenylacetic acid and homovanillic acid were analyzed on a μBonapak C18 column with an acetonitrile/water/acetic acid (20:90:0.18, vol/vol/vol) mixture as a mobile phase. Electrochemical detection provided selectivity as well as sensitivity. The method was applied to the analysis of the most important phenolic compounds in olive oils.",12
"Functional attributes of soybean seeds and products, with reference to isoflavone content and antioxidant activity",NA,"The concentrations of isoflavones, especially daidzein and genistein, were determined by high performance liquid chromatography in 4 soybean cultivars and 26 soybean products. The total isoflavone content of the soybean cultivars was in the range of 525–986 mg per kg, and for soy products it was 32.9–795 mg per kg. Amongst the soybean products, the isoflavone content decreased in the order: soy sprouts, soy seeds, soy flour, soy milk, soy meals and soy sauce. Significant differences in the concentration of genistein and daidzein were observed between the commercial soy products and also within the soybean cultivars. The antioxidant activity of soybean and soy products correlated well with total phenolic content (TPC) and total isoflavones (TI), whereas TPC showed higher correlation with TI.",13
"Comparison of antioxidant activity, anthocyanins, carotenoids, and phenolics of three native fresh and sun-dried date (Phoenix dactylifera L.) varieties grown in Oman",16159191,"Fresh and sun-dried dates of three native varieties from Oman, namely, Fard, Khasab, and Khalas, were examined for their antioxidant activity and total contents of anthocyanins, carotenoids, and phenolics, as well as free and bound phenolic acids. All results are expressed as mean value +/- standard deviation (n = 3) on a fresh weight basis. Fresh date varieties were found to be a good source of antioxidants (11687-20604 micromol of Trolox equiv/g), total contents of anthocyanins (0.24-1.52 mg of cyanidin 3-glucoside equiv/100 g), carotenoids (1.31-3.03 mg/100 g), phenolics (134-280 mg of ferulic acid equiv/100 g), free phenolic acids (2.61-12.27 mg/100 g), and bound phenolic acids (6.84-30.25 mg/100 g). A significant (p < 0.05) amount of antioxidants and carotenoids was lost after sun-drying of dates, whereas the total content of phenolics and free and bound phenolic acids increased significantly (p < 0.05). Anthocyanins were detected only in fresh dates. Date varieties had different levels and patterns of phenolic acids. Four free phenolic acids (protocatechuic acid, vanillic acid, syringic acid, and ferulic acid) and nine bound phenolic acids (gallic acid, protocatechuic acid, p-hydroxybenzoic acid, vanillic acid, caffeic acid, syringic acid, p-coumaric acid, ferulic acid, and o-coumaric acid) were tentatively identified. Of the date varieties studied, Khalas, which is considered to be premium quality, had higher antioxidant activity, total carotenoids, and bound phenolic acids than other varieties. These results suggest that all date varieties serve as a good source of natural antioxidants and could potentially be considered as a functional food or functional food ingredient, although some of their antioxidant constituents are lost during sun-drying.",14
"Compositional and functional characteristics of dates, syrups, and their by-products",NA,"Three native sun-dried date varieties from Oman (namely Mabseeli, Um-sellah, and Shahal), as well as their syrups and by-products (press cake and seed) were examined for their proximate composition, dietary fibre, total phenolics, and total antioxidant activity. Carbohydrate was the predominant component in all date varieties, syrups, and their by-products, followed by moisture, along with small amounts of protein, fat, and ash. Press cakes had the highest protein content, ranging in concentration from 3.62 g/100 g in Shahal to 5.23 g/100 g in Mabseeli, whereas fat was the highest in seeds and ranged from 5.02 g/100 g in Mabseeli to 5.90 g/100 g in Um-sellah. Seeds and press cakes were found to be good sources of dietary fibre, varied between 77.75 and 80.15 g/100 g fresh weight and between 25.39 and 33.81 g/100 g fresh weight, respectively. Among dates, syrups, and their by-products, seeds had the highest contents of total phenolics (3102–4430 mg of gallic acid equivalents/100 g fresh weight) and antioxidant activity (580–929 μmol of Trolox equivalents/g fresh weight). The results obtained suggest that date by-products (particularly seeds) serve as a good source of natural antioxidants and could potentially be considered as a functional food or functional food ingredient.",15
Nutritional composition of chickpea (Cicer arietinum L.) as affected by  microwave cooking and other traditional cooking methods,NA,"The effects of microwave cooking and other traditional cooking methods such as boiling and autoclaving on the nutritional composition and anti-nutritional factors of chickpeas (Cicer arietinum L.) were studied. Cooking treatments caused significant (P<0.05) decreases in fat, total ash, carbohydrate fractions (reducing sugars, sucrose, raffinose and stachyose, while verbascose was completely eliminated after cooking treatments), antinutritional factors (trypsin inhibitor, haemagglutinin activity, tannins, saponins and phytic acid), minerals and B-vitamins. Cooking treatments decreased the concentrations of lysine, tryptophan, total aromatic and sulfur-containing amino acids. However, cooked chickpeas were still higher in lysine, isoleucine and total aromatic amino acid contents than the FAO/WHO reference. The losses in B-vitamins and minerals in chickpeas cooked by microwaving were smaller than those cooked by boiling and autoclaving. In-vitro protein digestibility, protein efficiency ratio and essential amino acid index were improved by all cooking treatments. The chemical score and limiting amino acid of chickpeas subjected to the various cooking treatments varied considerably, depending on the type of treatment. Based on these results, microwave cooking is recommended for chickpea preparation, not only for improving nutritional quality (by reducing the level of antinutritional and flatulence factors as well as increasing in-vitro protein digestibility and retention rates of both B-vitamins and minerals), but also for reducing cooking time.",16
Characterization and antioxidant activity of nocino liqueur,NA,"Nocino is an after-dinner liqueur made with green, unripe walnuts, appreciated both for its appealing flavour and aroma, and for its properties as a tonic and digestive aid. There is a large number of recipes for the production of nocino and the industrial production coexists with preparations at home. The liqueur has never been scientifically investigated; thus the aim of this work was to examine various kinds of it. Three sets of samples were considered: Commercial brands, home-made nocino and, among the latter, samples made for years with the same recipe and aged for different times, up to 25 years. In the commercial products, the phenolic profiles and the antioxidant activities were widely variable. The antioxidant activity proved to be directly correlated with the content of total phenols, total tannins and non-tannin phenolics. Study of samples aged for different lengths of time showed that the characteristics considered remained substantially unchanged during the aging process.",17
"Comparison of volatiles, phenolics, sugars, antioxidant vitamins, and sensory quality of different colored carrot varieties",11312873,"Four different colored carrots, orange, purple with orange core, yellow, and white, were examined for their content of phenolics, antioxidant vitamins, and sugars as well as their volatiles and sensory responses. A total of 35 volatiles were identified in all carrots, 27 positively. White carrot contained the highest content of volatiles, followed by orange, purple, and yellow. In total, 11, 16, 10, and 9 phenolic compounds were determined for the first time in orange, purple, yellow, and white carrots, respectively. Of these, chlorogenic acid was the most predominant phenolic compound in all carrot varieties. Differences (p < 0.05) in relative sweetness, the contents of vitamin C and alpha- and beta-carotenes, and certain flavor characteristics were observed among the colored carrot varieties examined. Purple carrots contained 2.2 and 2.3 times more alpha- and beta-carotenes (trace in yellow; not detected in white) than orange carrots, respectively. Purple carrot may be used in place of other carrot varieties to take advantage of its nutraceutical components.",18
Effects of Roasting on Taste-Active Compounds of TurkisH Hazelnut Varieties (Corylus avellana L.),20681657,"The effect of roasting on taste-active components of 18 native hazelnut varieties, grown in the Giresun province of Turkey, was assessed. Samples were examined for their sugars, organic acids, condensed tannins, and free phenolic acids. Six sugars (fructose, glucose, sucrose, myo-inositol, raffinose, and stachyose), seven organic acids (oxalic, maleic, citric, malic, lactic, succinic, and acetic), and one phenolic acid (gallic acid) were positively identified in natural and roasted hazelnut varieties; among these, sucrose, malic acid, and gallic acid predominated, respectively. Total sugars among hazelnut varieties ranged from 1.99 to 4.94 g/100 g, organic acids from 0.96 to 2.72 g/100 g, condensed tannins from 3.99 to 40.56 mg of catechin equivalents/g, and gallic acid from 0.159 to 0.871 mg/100 g. Differences existed in the sugar and organic acid contents between natural and roasted hazelnut varieties, but they did not follow any particular trend. Significant losses (p < 0.05) in condensed tannins ( approximately 97.3%) and gallic acid ( approximately 66.7%) were noted when the hazelnuts were roasted. The present work suggests that roasting resulted in significant loss in condensed tannins and gallic acid due to the removal of the brown skin. The effect of roasting on sugars and organic acids was not noteworthy.",19
Anthocyanins characterization of 15 Iranian pomegranate (Punica granatum L.) varieties and their variation after cold storage and pasteurization,NA,"Anthocyanins (ACs) are phenolic compounds that are distributed widely in fruits and vegetables. Apart from imparting color to plants, ACs also have an array of health-promoting benefits. In this research, the amounts of major ACs of 15 pomegranate (Punica granatum L.) varieties obtained from Yazd province were determined. The major ACs detected in the studied varieties were as follows: delphinidin 3-glucoside (2.19–16.29 mg/L), delphinidin 3,5-diglucoside (2.36–63.07 mg/L), pelargonidin 3-glucoside (0.26–1.36 mg/L), pelargonidin 3,5-diglucoside (0.01–8.11 mg/L), cyanidin 3-glucoside (5.78–30.38 mg/L), and cyanidin 3,5-diglucoside (4.39–166.32 mg/L). The effect of storage time of unprocessed and pasteurized juices on ACs content of four selected varieties was also studied. Average degradation percentage of each AC was between 23.0 and 83.0% during 10 days at 4 °C. Moreover, in pasteurized juices average degradation of ACs was 42.8 ± 0.5% after 10 weeks storage at 4 °C.",20
Effects of extrusion and traditional processing methods on antinutrients and in vitro digestibility of protein and starch in faba and kidney beans,NA,"Comparative effects of extrusion cooking and conventional processing methods on protein content and reduction of antinutritional factor (phytic acid, condensed tannins, polyphenols, trypsin, chymotrypsin, α-amylase inhibitors and haemagglutinating activity) levels in Vicia faba and Phaseolus vulgaris seeds were studied. In vitro protein and starch digestibilities were assessed. P. vulgaris seeds showed highest levels of condensed tannins, chymotrypsin and α-amylase inhibitory activities and haemagglutinating activity. Dehulling significantly increased protein content and greatly reduced condensed tannin and polyphenol levels in both legumes. Extrusion was the best method to abolish trypsin, chymotrypsin, α-amylase inhibitors and haemagglutinating activity without modifying protein content. Furthermore, this thermal treatment was most effective in improving protein and starch digestibilities when compared with dehulling, soaking and germination.",21
Study of the antioxidant power of brandies and vinegars derived from Sherry wines and correlation with their content in polyphenols,NA,"The protective effect on health of wine consumed in moderation has been widely studied in recent years. This has been attributed to the content in polyphenols and to the antioxidant activity of these compounds. The products derived from wine, such as vinegar and brandy, also contain polyphenols and could possess a certain antioxidant activity, similarly contributing to a protective effect for health. This paper describes the study of the antioxidant power of diverse Sherry brandies and vinegars, by means of an electrochemical method previously devised. The total polyphenolic content is studied using the method of Folin–Ciocalteu, and some polyphenols are identified and quantified by means of HPLC. A close correlation between the antioxidant power and the total polyphenolic content of the samples has been found. Considering the polyphenols individually, the compounds that are better correlated with the antioxidant power of the samples are not necessarily those that are present in higher concentrations. For brandies, the contact with wood has an important contribution to their antioxidant power.",22
Development of a rapid method based on solid-phase extraction and liquid chromatography with ultraviolet absorbance detection for the determination of polyphenols in alcohol-free beers,15553142,"An analytical method based on solid-phase extraction (SPE) and followed by liquid chromatographic separation and ultraviolet detection (HPLC-UV) is proposed for the determination of 10 phenolic compounds which participate on beer stability and sensory properties in alcohol-free beers. Acetonitrile was found to be the most appropriate solvent for the elution of polyphenolic compounds adsorbed on C18 cartridges. The performance of the method was assessed by the evaluation of parameters such as absolute recovery (generally higher than 60%), repeatability (lower than 10%), linearity (r2 higher than 0.993) and limits of quantitation (ranging from 1 to 37 microg/L); no matrix effects were observed. The polyphenol content of different Spanish alcohol-free beers is presented. Five phenolic compounds such as protocatechuic, p-coumaric, ferulic, caffeic acids, and (+)-catechin were identified at levels lower than 10 mg/L.",23
Determination of polyphenolic profiles of Basque cider apple varieties using accelerated solvent extraction,11513662,"Polyphenols in the peel and pulp of 15 Basque cider apple varieties were determined by accelerated solvent extraction followed by reversed phase high-performance liquid chromatography with diode array detection. It was observed that the polyphenolic composition in apple peel depended on varieties, whereas the main classes of phenolic compounds in apple pulp were flavan-3-ols and hydroxycinnamic acids in all cases, representing both together between 86 and 95% of total polyphenols assayed.",24
Polyphenolic profiles of Basque cider apple cultivars and their technological properties,15137839,"The polyphenolic compositions of 31 Basque cider apple cultivars were determined in pulp, peel, and juice by high-performance liquid chromatography with diode array detection analysis of crude extracts and after thiolysis. Total polyphenols are distributed in a wide concentration range depending on the cultivar. Procyanidins are the class of polyphenols that present major concentrations in apple. Their average degrees of polymerization range from 4 to 8 depending on the cultivar. Apple cultivars were technologically classified into bitter and nonbitter categories using different classification systems obtained by applying several pattern recognition techniques, such as principal component analysis, K-nearest neighbors, soft independent modeling of class analogy, partial least-squares, and multilayer feed-forward-artificial neural networks, to apple pulp, peel, or juice data (individual polyphenol concentrations, total procyanidin content, and the average degree of polymerization of procyanidins). Bitter apple cultivars present higher contents of flavan-3-ols and/or dihydrochalcones than nonbitter cultivars. Detailed knowledge of the polyphenolic profile of each apple cultivar affords information about their susceptibility to oxidation, their sensory properties (bitterness, astringency), and their possible influence on the characteristics and quality of the final product (juice, cider) when apples are processed.",25
Classification of apple fruits according to their maturity state by the pattern recognition analysis of their polyphenolic compositions,NA,"Polyphenolic profiles of cider apple cultivars were studied in order to differentiate fruits according to their maturity state (ripe or unripe). Thiolysis and direct solvent extracts of freeze-dried apple pulps and peels were analysed by HPLC-DAD. Univariate data treatment did not achieve the mentioned target; thus a multivariate approach was considered. For each apple tissue data set, several chemometric techniques were applied to the most discriminant variables. Cluster analysis allowed a preliminary study of the data structure. Then, supervised pattern recognition procedures, namely linear discriminant analysis, K-nearest neighbours, soft independent modelling of class analogy, and multilayer feed-forward artificial neural networks (MLF-ANN), were used to develop decision rules to classify samples in the established categories. Excellent results were afforded by MLF-ANN applied to the concentrations of total procyanidins and (+)-catechin and the average degree of polymerisation of procyanidins in apple pulp, with success in the prediction ability of 97% and 99% for unripe and ripe categories, respectively.",26
Influence of processing and pasteurization on color values and total phenolic compounds of pomegranate juice,NA,"In this study, the influences of processing and pasteurization on color values and total phenolic compounds of pomegranate juices were investigated. Pomegranate juices were produced by different clarification techniques (conventional fining, conventional fining together with polyvinylpolypyrrolidone [PVPP], ultrafiltration). Nonclarified juice was also produced as control. Clarification methods, heat treatments and methods and heat treatments together significantly (P < 0.05) affected the color values of pomegranate juices. Moreover, conventional fining together with PVPP treatment was found to be the most effective method to remove phenolic compounds.",27
Influence of jam processing on the radical scavenging activity and phenolic content in berries,11312801,"Six selected phenolic aglycons (caffeic and ellagic acids, kaempferol, quercetin, myricetin, and morin) in nine types of berries, and their changes as influenced by jam processing, have been evaluated using optimized HPLC with diode-array detection. The berry samples, fresh and after jam processing, were analyzed, and the total amounts of selected phenolics as aglycons were identified and determined by acid hydrolysis. Their contents in fresh and jam samples did not indicate appreciable changes; therefore, the influence of jam processing on these selected phenolics in berries was suggested to be small, and was mostly present in berries as several conjugated forms that were glycosylated, esterified, etc., in the samples. The total phenolic content of each sample was also determined by the Folin-Ciocalteu method. The three samples of each berry, namely fresh, jam, and acid hydrolysate of the berry, had similar total phenolic contents. On the other hand, the scavenging effect on the 1,1-diphenyl-2-picrylhydrazyl (DPPH) radical was measured, and acid hydrolysates showed stronger activity than that of the fresh and jam-processed samples for all of the berry types.",28
